ASSETID;PRICE;UNITPRICE;CONSTRUCTEDAREA;ROOMNUMBER;BATHNUMBER;HASTERRACE;HASLIFT;HASAIRCONDITIONING;HASPARKINGSPACE;ISPARKINGSPACEINCLUDEDINPRICE;PARKINGSPACEPRICE;HASNORTHORIENTATION;HASSOUTHORIENTATION;HASEASTORIENTATION;HASWESTORIENTATION;HASBOXROOM;HASWARDROBE;HASSWIMMINGPOOL;HASDOORMAN;HASGARDEN;ISDUPLEX;ISSTUDIO;ISINTOPFLOOR;CONSTRUCTIONYEAR;FLOORCLEAN;CADCONSTRUCTIONYEAR;CADMAXBUILDINGFLOOR;CADDWELLINGCOUNT;CADASTRALQUALITYID;BUILTTYPEID_1;BUILTTYPEID_2;BUILTTYPEID_3;DISTANCE_TO_CITY_CENTER;DISTANCE_TO_METRO;DISTANCE_TO_CASTELLANA;alq_mediana_eur_m2_barrio;dist_centro_educativo_m;dist_parque_m;dist_espacio_deporte_m;dist_centro_medico_m;delitos_per_10k_barrio;indice_vulnerabilidad
A2474144489059975358;2139000.0;8454.54545454546;253;4;5;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1935;4;1935;7;16;3;0;0;1;1.140074468607854;0.37104054714184725;0.20782090134968942;11.49387944506962;521.3;250.4;420.1;754.4;249.48;0.0056
A2474212378941631713;221000.0;2569.76744186047;86;3;2;0;1;1;1;1;1;0;1;0;0;1;1;1;0;1;0;0;0;;2;2004;8;139;4;0;0;1;7.902416347910108;1.2279278411067067;4.951012846620295;7.8350824501419;111.2;816.2;263.2;732.3;63.81;0.0091
A2474438388651221236;94000.0;1566.66666666667;60;3;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;2;1965;5;11;7;0;0;1;6.438555162764169;0.32351633770860183;4.6728900774925775;8.141700434947378;135.6;297.6;286.4;340.9;60.46;0.0111
A24744802751199412;223000.0;2623.52941176471;85;2;2;0;1;1;1;1;1;0;0;0;0;1;1;1;1;1;0;0;0;2006;3;2006;7;68;3;0;0;1;7.434524855890635;1.5024089347485072;6.682934879288635;11.406864303518661;216.6;1268.2;214.5;510.8;111.95;0.0082
A2474494301627384412;140000.0;2187.5;64;2;1;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;;1;1966;4;17;6;0;0;1;3.8701340995925166;0.5517335865805039;1.2489282903901846;8.331369986175199;175.8;837.6;305.0;168.5;99.19;0.0103
A2474677245342030451;365000.0;2607.14285714286;140;4;2;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;;6;1970;15;60;5;0;0;1;4.463853716144373;0.08007325081488824;3.396279619179258;8.772199855725395;175.5;743.2;211.0;306.8;43.61;0.0075
A2474887079676128606;110000.0;1964.28571428571;56;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1964;1;1964;3;9;8;0;1;0;2.9371585308384236;0.2912326702526911;2.5758449014239964;8.633594804717255;196.5;488.9;262.7;625.5;115.85;0.0104
A247503029066423024;92000.0;4000.0;23;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1905;4;1905;6;14;6;0;0;1;1.0125068151994996;0.22722750615415627;1.3531934414944;12.03529528409501;233.5;480.5;185.4;338.5;363.73;0.0086
A2475042821899332434;184000.0;6571.42857142857;28;0;1;0;0;1;0;0;1;0;0;1;1;1;1;0;0;0;0;1;0;1900;4;1900;4;9;5;0;0;1;0.7663818667754461;0.12394494912090834;0.4368068938103129;13.411748537722705;193.7;594.0;288.6;334.3;294.93;0.0075
A2475418399636175551;685000.0;3959.53757225434;173;3;2;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;1970;5;1970;5;11;7;0;0;1;3.483262202260048;0.2698814981255265;1.1508640407044781;11.587097157856247;149.1;782.4;215.8;174.5;60.96;0.0064
A2475595956241058536;384000.0;4266.66666666667;90;3;2;1;1;1;1;1;1;0;0;1;0;1;1;0;0;1;0;0;0;;4;1975;5;16;4;0;0;1;10.634351520246119;0.23907261243042777;8.45345467003712;9.203780570302383;118.7;907.1;328.3;283.9;50.94;0.0058
A247564342657186132;361000.0;6333.33333333333;57;2;1;0;1;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;;2;1977;6;36;5;0;0;1;2.2791265074851705;0.38198701945758545;1.6811789396379693;13.264800471860024;172.7;332.8;352.2;341.1;67.92;0.0064
A2475987458558006846;272000.0;3830.98591549296;71;2;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;;4;1940;8;14;4;0;0;1;1.7555093815963547;0.1900059630030111;0.17804512329793046;11.508977632299292;65.7;624.5;113.3;266.4;101.41;0.0074
A2475993547174391948;112000.0;1777.77777777778;63;2;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1963;1;1963;6;25;7;0;0;1;4.407444365981212;0.6018457833508041;3.077333143009795;8.627263235202374;304.2;249.1;202.0;441.6;140.95;0.0116
A2476138990910279329;256000.0;2327.27272727273;110;3;2;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2006;0;2006;5;11;7;0;0;1;6.465763905448467;0.4199258253111764;4.973446043879297;10.489537411212407;151.7;671.7;430.8;572.5;102.24;0.0088
A2476348790610274004;410000.0;3280.0;125;2;2;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;;4;2000;4;15;4;0;0;1;4.467532877487656;0.3744619927731039;1.3521315988441;10.819559510247089;82.1;757.3;445.3;134.4;86.97;0.0088
A2476435169897457084;654000.0;5109.375;128;4;3;0;1;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;;3;1930;7;17;3;0;0;1;2.2081631660225916;0.07769920625215669;1.2671968219859735;12.574727176577554;40.1;697.0;556.4;55.5;62.07;0.0061
A2476550902105756429;155000.0;2123.28767123288;73;3;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1960;2;1960;5;11;5;0;1;0;8.652700929716033;0.22480956118423517;3.9683954360532314;9.24296971119612;218.2;554.6;245.3;534.9;50.13;0.0078
A2477021041609487036;636000.0;4103.22580645161;155;3;2;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;;8;1960;9;32;4;0;0;1;1.7834850648057037;0.9942730173468333;2.5946821735631764;11.30408121352357;442.7;453.2;84.8;504.6;258.68;0.0066
A2477391023344521142;107000.0;1528.57142857143;70;3;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;1;1970;5;11;6;0;0;1;5.278957226389299;1.6777189080053458;2.790994905281522;7.386806769491732;206.2;750.6;260.5;367.4;109.6;0.0119
A2478016813634315470;853000.0;4738.88888888889;180;4;4;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;;0;2004;4;26;3;0;0;1;9.461671225683961;6.22353028168491;8.802025152878967;12.357665650759156;510.4;1584.8;1626.5;832.6;57.11;0.0054
A2478359274588351744;386000.0;3860.0;100;4;2;1;1;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;1956;6;1965;8;55;5;0;1;0;3.266548957817326;0.2767523184409751;1.8668558439262515;11.235578540384369;176.7;257.1;197.5;172.7;52.4;0.0063
A2478678516517848430;266000.0;5018.8679245283;53;1;1;0;1;0;1;1;1;0;1;0;0;1;1;0;1;0;0;0;0;;2;1983;13;40;5;0;0;1;6.812780372216405;0.37834345424339455;1.0772950849082878;9.63423218804441;71.8;597.8;468.6;266.0;49.0;0.0064
A2478709048071216971;326000.0;4346.66666666667;75;4;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1940;4;1940;9;24;5;0;1;0;2.6386241272393303;0.4231431335200886;1.453182598473038;12.490767241652478;112.0;387.9;76.2;192.7;91.73;0.0058
A2478731023797612645;331000.0;4413.33333333333;75;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;;1;1966;4;19;5;0;0;1;5.983886429732959;0.5145128113011321;2.470229563154666;11.86011990744387;152.4;571.6;569.7;85.1;88.08;0.007
A2478818139323718201;503000.0;4373.91304347826;115;4;2;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;;2;1950;6;16;5;0;1;0;4.205999570441665;0.5115311704253792;0.5559493975596987;12.252447863659858;189.3;190.5;119.1;235.0;156.2;0.0076
A2479627382201473920;131000.0;2381.81818181818;55;2;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;;2;1960;5;12;7;0;0;1;4.4799236264331075;0.319705269459605;3.2545034496248797;9.142390229587019;142.0;685.0;271.6;572.9;75.58;0.0084
A2479649838480017907;140000.0;3111.11111111111;45;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;1940;4;29;6;0;0;1;2.410432850737122;0.5834538161373275;0.41572055369363137;10.41840543292781;120.7;214.9;248.1;230.0;61.87;0.0076
A2479692716557138468;215000.0;2529.41176470588;85;3;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;3;1960;6;20;6;0;0;1;5.2890625589370055;0.17919308095116848;3.591076188905242;9.608842683528561;115.5;490.5;320.9;574.0;87.47;0.0085
A2479732296960710434;93000.0;1476.19047619048;63;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;4;1962;13;11;6;0;1;0;4.2876247649544075;0.3477030320072905;4.513887551456364;8.377631696472392;131.4;281.0;295.5;336.1;75.23;0.0093
A2479829841796349318;578000.0;5351.85185185185;108;3;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1930;0;1930;9;15;5;0;0;1;2.925650606015028;0.2619438156837584;1.520459807106156;13.073037137847258;144.3;480.3;215.8;250.7;94.17;0.0062
A248025235302455812;389000.0;2493.58974358974;156;3;2;0;1;1;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;;3;1932;7;26;4;0;1;0;3.0825777777617187;0.24222381496491333;0.8533696445651727;12.97672030170164;323.4;389.2;407.6;338.8;74.85;0.0062
A2480285832201752383;150000.0;2459.01639344262;61;2;1;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;;2;2008;4;20;4;0;0;1;3.9945986396160693;0.5933547718223859;2.154983963476601;8.735259397840522;171.4;413.8;175.6;327.1;197.46;0.0121
A2480545227639119304;275000.0;2750.0;100;3;1;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;;4;1960;8;402;5;0;0;1;1.5553548731447189;0.6860787893177837;2.280748867313395;11.511581039220795;29.3;510.3;345.1;299.1;69.92;0.0067
A2481890748992957630;353000.0;3755.31914893617;94;2;2;1;1;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;;2;1996;5;6;5;1;0;0;11.663390884626894;0.5629498586937608;8.33947595423049;9.858362605182245;191.5;771.2;119.9;430.6;54.83;0.0062
