propertyCode,precio_anunciado,barrio_code,distrito_code,barrio_rescatado,sin_barrio,planta_imputada,ascensor_desde_descripcion,sin_descripcion,fuera_de_rango,CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,precio_estimado_2018,indice_venta,precio_estimado,factor_renta_mensual,renta_mensual_estimada,tipologia_casa,superficie_fuera_de_dominio,a_reformar,ocupada,fuera_de_dominio,distrito,alquiler_distrito_eur_m2_2026,anunciado / estimado
111255412,2300000.0,071,07,False,False,False,False,False,False,300.0,4,3,1.276015e+06,1.6853880807988142,2150580.471920499,0.002278740199336892,4900.614173274145,False,False,False,False,False,Chamberí,19.980022301161203,1.0694786965800294
111925149,980000.0,011,01,False,False,False,False,False,False,130.0,2,2,571402.7,1.558745921449614,890671.6086459734,0.0025264030793100585,2250.1954947372305,False,False,False,False,False,Centro,18.93916135071505,1.1002932960778062
111495917,570000.0,062,06,False,False,False,False,False,False,82.0,1,1,410751.1,1.7497591043844554,718715.4659249354,0.002978418922071256,2140.6357432960867,False,False,False,False,False,Tetuán,17.333396740317067,0.7930815837759255
109221655,2850000.0,035,03,False,False,False,False,False,False,241.0,3,4,1.5608258e+06,1.7929648066474984,2798505.6390591864,0.0021651669060346315,6059.231796042248,False,False,False,False,False,Retiro,17.253540940727106,1.0184006636335117
112455532,1350000.0,042,04,False,False,False,False,False,False,111.0,2,2,776883.8,1.8766123722225168,1457909.7743168978,0.0019512838033895418,2844.795729427865,False,False,False,False,False,Salamanca,19.77461679945292,0.9259832287169768
111579011,2075000.0,014,01,False,False,False,False,False,False,167.0,3,4,1.077709e+06,1.558745921449614,1679874.508259542,0.0025264030793100585,4244.040130521377,False,False,False,False,False,Centro,18.93916135071505,1.2352113147724548
111706879,799000.0,043,04,False,False,False,False,False,False,82.0,2,1,339241.7,1.8766123722225168,636625.1479361447,0.0019512838033895418,1242.2363399982703,False,False,False,False,False,Salamanca,19.77461679945292,1.255055667515261
104685725,2012000.0,164,16,False,False,False,False,False,False,318.0,4,5,1.1680372e+06,1.6317102565250337,1905898.360828295,0.0027028857740617703,5151.425566290445,False,False,False,False,False,Hortaleza,14.589315759435864,1.0556701455609594
111376707,3600000.0,041,04,False,False,False,False,False,True,250.0,4,4,2.1246592e+06,1.8766123722225168,3987161.8353070132,0.0019512838033895418,7780.084310727495,False,False,False,False,False,Salamanca,19.77461679945292,0.9028978879466021
111466644,2034396.0,012,01,False,False,False,False,False,False,222.0,2,3,930344.9,1.558745921449614,1450171.279447801,0.0025264030793100585,3663.7171859239315,False,False,False,False,False,Centro,18.93916135071505,1.4028660123338406
110629443,1099000.0,034,03,False,False,False,False,False,False,119.0,3,2,580157.5,1.7929648066474984,1040201.979812596,0.0021651669060346315,2252.210902281937,False,False,False,False,False,Retiro,17.253540940727106,1.0565255799628426
111715165,1480000.0,076,07,False,False,False,False,False,False,212.0,5,3,914468.8,1.6853880807988142,1541234.8368497456,0.002278740199336892,3512.0737793479516,False,False,False,False,False,Chamberí,19.980022301161203,0.9602689769361116
112450146,1600000.0,042,04,False,False,False,False,False,False,117.0,3,3,693104.56,1.8766123722225168,1300688.5972313746,0.0019512838033895418,2538.0125930310446,False,False,False,False,False,Salamanca,19.77461679945292,1.230117649532513
105996116,2280000.0,157,15,False,False,True,False,False,False,312.0,2,2,912242.44,1.7410339116420641,1588245.0193265162,0.002871857299515261,4561.213052171613,False,False,False,False,False,Ciudad Lineal,14.266652704537027,1.435546765301249
112329929,610000.0,045,04,False,False,False,False,False,False,45.0,2,2,308097.28,1.8766123722225168,578179.1698418704,0.0019512838033895418,1128.1916495696528,False,False,False,False,False,Salamanca,19.77461679945292,1.0550362790946488
112525243,1375000.0,072,07,False,False,False,False,False,False,164.0,4,3,766478.6,1.6853880807988142,1291813.938762064,0.002278740199336892,2943.7083523208416,False,False,False,False,False,Chamberí,19.980022301161203,1.06439476982084
110677069,1740000.0,075,07,False,False,False,False,False,False,150.0,3,3,,1.6853880807988142,,0.002278740199336892,,False,False,True,False,True,Chamberí,19.980022301161203,
110955026,1200000.0,041,04,False,False,False,False,False,True,82.0,1,2,614414.44,1.8766123722225168,1153017.7350846382,0.0019512838033895418,2249.864831491548,False,False,False,False,False,Salamanca,19.77461679945292,1.0407472179184762
111689958,995000.0,075,07,False,False,False,False,False,False,118.0,4,2,632807.3,1.6853880807988142,1066525.9019298304,0.002278740199336892,2430.3354463615406,False,False,False,False,False,Chamberí,19.980022301161203,0.9329356166592789
111158776,1590000.0,045,04,False,False,True,False,False,False,130.0,3,3,785317.7,1.8766123722225168,1473736.8884876762,0.0019512838033895418,2875.678920963702,False,False,False,False,False,Salamanca,19.77461679945292,1.0788900056859072
111149437,895000.0,045,04,False,False,False,False,False,False,75.0,2,2,469491.7,1.8766123722225168,881053.9094181275,0.0019512838033895418,1719.1862233606287,False,False,False,False,False,Salamanca,19.77461679945292,1.015828873162918
