fecha;cod_municipio;municipio;cod_distrito;distrito;cod_barrio;barrio;num_personas;num_personas_hombres;num_personas_mujeres
1 de enero de 2025;28079;Madrid;21; Barajas;213;Casco Histórico de Barajas;8.253;3.944;4.309
1 de enero de 2025;28079;Madrid;21; Barajas;214;Timón;12.512;5.939;6.573
1 de enero de 2025;28079;Madrid;21; Barajas;215;Corralejos;7.752;3.818;3.934
1 de enero de 2024;28079;Madrid;1; Centro;11;Palacio;24.332;12.008;12.324
1 de enero de 2024;28079;Madrid;1; Centro;12;Embajadores;48.590;25.475;23.115
1 de enero de 2024;28079;Madrid;1; Centro;13;Cortes;11.171;5.523;5.648
1 de enero de 2024;28079;Madrid;1; Centro;14;Justicia;18.739;9.497;9.242
1 de enero de 2024;28079;Madrid;1; Centro;15;Universidad;34.073;16.850;17.223
1 de enero de 2024;28079;Madrid;1; Centro;16;Sol;8.506;4.381;4.125
1 de enero de 2024;28079;Madrid;2; Arganzuela;21;Imperial;22.668;10.538;12.130
1 de enero de 2024;28079;Madrid;2; Arganzuela;22;Acacias;36.475;16.823;19.652
1 de enero de 2024;28079;Madrid;2; Arganzuela;23;Chopera;20.256;9.242;11.014
1 de enero de 2024;28079;Madrid;2; Arganzuela;24;Legazpi;19.858;9.712;10.146
1 de enero de 2024;28079;Madrid;2; Arganzuela;25;Delicias;29.465;13.888;15.577
1 de enero de 2024;28079;Madrid;2; Arganzuela;26;Palos de la Frontera;25.790;12.112;13.678
1 de enero de 2024;28079;Madrid;2; Arganzuela;27;Atocha;2.047;996;1.051
1 de enero de 2024;28079;Madrid;3; Retiro;31;Pacífico;33.743;15.154;18.589
1 de enero de 2024;28079;Madrid;3; Retiro;32;Adelfas;19.025;8.854;10.171
1 de enero de 2024;28079;Madrid;3; Retiro;33;Estrella;22.774;10.454;12.320
1 de enero de 2024;28079;Madrid;3; Retiro;34;Ibiza;22.010;9.723;12.287
1 de enero de 2024;28079;Madrid;3; Retiro;35;Los Jerónimos;6.934;3.245;3.689
