Día de creación;Hora de creación;Distrito;Barrio;Origen;Incidentes;Descripcíon tipo de apertura
2026-05-01;1;CENTRO;UNIVERSIDAD;92;1;RUIDOS MOLESTOS
2026-05-01;1;CHAMBERI;VALLEHERMOSO;112;1;RUIDOS MOLESTOS
2026-05-01;1;CIUDAD LINEAL;LA CONCEPCION;92;1;RUIDOS MOLESTOS
2026-05-01;1;FUENCARRAL - EL PARDO;PEÑAGRANDE;92;1;RUIDOS MOLESTOS
2026-05-01;1;LATINA;PUERTA DEL ANGEL;92;1;RUIDOS MOLESTOS
2026-05-01;1;MORATALAZ;HORCAJO;92;1;RUIDOS MOLESTOS
2026-05-01;1;SAN BLAS - CANILLEJAS;EL SALVADOR;92;1;RUIDOS MOLESTOS
2026-05-01;1;USERA;MOSCARDO;92;1;RUIDOS MOLESTOS
2026-05-01;1;PUENTE DE VALLECAS;PORTAZGO;112;1;SUCESOS: COLABORACIONES CON OTROS SERVICIOS
2026-05-01;2;CENTRO;JUSTICIA;112;2;ACTUACION DE SAMUR / SUMMA
2026-05-01;2;CENTRO;UNIVERSIDAD;112;1;ACTUACION DE SAMUR / SUMMA
2026-05-01;2;CHAMBERI;GAZTAMBIDE;112;2;ACTUACION DE SAMUR / SUMMA
2026-05-01;2;LATINA;LUCERO;112;1;ACTUACION DE SAMUR / SUMMA
2026-05-01;2;ARGANZUELA;LEGAZPI;92;1;ALTERACIONES DE TRAFICO Y MOVILIDAD
2026-05-01;2;SALAMANCA;GOYA;92;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-05-01;2;CIUDAD LINEAL;PUEBLO NUEVO;92;1;RESOLUCION CONFLICTOS PRIVADOS
2026-05-01;2;CIUDAD LINEAL;QUINTANA;92;1;RESOLUCION CONFLICTOS PRIVADOS
2026-05-01;2;CIUDAD LINEAL;VENTAS;92;1;REYERTAS / AGRESIONES
2026-05-01;2;MONCLOA - ARAVACA;CASA DE CAMPO;112;1;REYERTAS / AGRESIONES
2026-05-01;2;CARABANCHEL;VISTA ALEGRE;92;2;RUIDOS MOLESTOS
2026-05-01;2;CENTRO;UNIVERSIDAD;92;1;RUIDOS MOLESTOS
2026-05-01;2;CHAMBERI;GAZTAMBIDE;92;2;RUIDOS MOLESTOS
2026-05-01;2;CHAMBERI;TRAFALGAR;92;1;RUIDOS MOLESTOS
2026-05-01;2;CIUDAD LINEAL;PUEBLO NUEVO;92;1;RUIDOS MOLESTOS
2026-05-01;2;FUENCARRAL - EL PARDO;VALVERDE;92;1;RUIDOS MOLESTOS
2026-05-01;2;HORTALEZA;PINAR DEL REY;92;1;RUIDOS MOLESTOS
2026-05-01;2;LATINA;LOS CARMENES;92;1;RUIDOS MOLESTOS
2026-05-01;2;PUENTE DE VALLECAS;SAN DIEGO;92;1;RUIDOS MOLESTOS
2026-05-01;2;TETUAN;ALMENARA;92;1;RUIDOS MOLESTOS
2026-05-01;2;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;92;1;RUIDOS MOLESTOS
2026-05-01;2;HORTALEZA;CANILLAS;112;2;ACCIDENTE DE TRAFICO SIN HERIDOS
2026-05-01;2;CENTRO;CORTES;112;1;ACTUACION DE BOMBEROS
2026-05-01;2;HORTALEZA;PINAR DEL REY;112;1;ACTUACION DE SAMUR / SUMMA
2026-05-01;2;CENTRO;EMBAJADORES;92;1;ACTUACIONES ADVAS. EN LOCALES PUBLICOS Y DE OCIO
2026-05-01;2;SALAMANCA;GOYA;112;1;ACTUACIONES ADVAS. EN LOCALES PUBLICOS Y DE OCIO
2026-05-01;2;LATINA;ALUCHE;92;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-05-01;2;PUENTE DE VALLECAS;SAN DIEGO;92;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-05-01;2;CENTRO;UNIVERSIDAD;112;1;NORMAS DE CONVIVENCIA
2026-05-01;2;SALAMANCA;GUINDALERA;92;1;NOTA INFORMATIVA
2026-05-01;2;LATINA;PUERTA DEL ANGEL;112;1;OTROS DELITOS...
2026-05-01;2;CENTRO;CORTES;92;1;RUIDOS MOLESTOS
2026-05-01;2;FUENCARRAL - EL PARDO;PEÑAGRANDE;92;1;RUIDOS MOLESTOS
2026-05-01;2;LATINA;ALUCHE;92;1;RUIDOS MOLESTOS
2026-05-01;2;PUENTE DE VALLECAS;NUMANCIA;92;2;RUIDOS MOLESTOS
2026-05-01;2;CHAMARTIN;PROSPERIDAD;112;2;ACTUACION DE SAMUR / SUMMA
2026-05-01;2;USERA;MOSCARDO;RADIO;1;ACTUACION DE SAMUR / SUMMA
