Día de creación;Hora de creación;Distrito;Barrio;Origen;Incidentes;Descripción tipo de apertura
2026-01-01;00;VILLAVERDE;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;092;1;ACTUACIONES ADVAS. EN LOCALES PUBLICOS Y DE OCIO
2026-01-01;00;HORTALEZA;VALDEFUENTES;092;1;ANOMALIAS EN VIA PUBLICA
2026-01-01;00;CARABANCHEL;ABRANTES;112;1;CONVIVENCIA: COLABORACIONES CON OTROS SERVICIOS
2026-01-01;00;CARABANCHEL;OPAÑEL;112;1;CONVIVENCIA: COLABORACIONES CON OTROS SERVICIOS
2026-01-01;00;FUENCARRAL - EL PARDO;LA PAZ;112;1;CONVIVENCIA: COLABORACIONES CON OTROS SERVICIOS
2026-01-01;00;HORTALEZA;VALDEFUENTES;112;1;CONVIVENCIA: COLABORACIONES CON OTROS SERVICIOS
2026-01-01;00;LATINA;ALUCHE;112;1;CONVIVENCIA: COLABORACIONES CON OTROS SERVICIOS
2026-01-01;00;LATINA;LOS CARMENES;112;1;CONVIVENCIA: COLABORACIONES CON OTROS SERVICIOS
2026-01-01;00;LATINA;LUCERO;112;1;CONVIVENCIA: COLABORACIONES CON OTROS SERVICIOS
2026-01-01;00;LATINA;PUERTA DEL ANGEL;112;1;CONVIVENCIA: COLABORACIONES CON OTROS SERVICIOS
2026-01-01;00;MONCLOA - ARAVACA;ARGÜELLES;112;1;CONVIVENCIA: COLABORACIONES CON OTROS SERVICIOS
2026-01-01;00;RETIRO;ESTRELLA;112;1;CONVIVENCIA: COLABORACIONES CON OTROS SERVICIOS
2026-01-01;00;SAN BLAS - CANILLEJAS;SIMANCAS;112;2;CONVIVENCIA: COLABORACIONES CON OTROS SERVICIOS
2026-01-01;00;TETUAN;ALMENARA;092;1;CONVIVENCIA: COLABORACIONES CON OTROS SERVICIOS
2026-01-01;00;TETUAN;ALMENARA;112;1;CONVIVENCIA: COLABORACIONES CON OTROS SERVICIOS
2026-01-01;00;TETUAN;BERRUGUETE;112;1;CONVIVENCIA: COLABORACIONES CON OTROS SERVICIOS
2026-01-01;00;USERA;PRADOLONGO;112;1;CONVIVENCIA: COLABORACIONES CON OTROS SERVICIOS
2026-01-01;00;USERA;ZOFIO;092;1;CONVIVENCIA: COLABORACIONES CON OTROS SERVICIOS
2026-01-01;00;USERA;ZOFIO;112;1;CONVIVENCIA: COLABORACIONES CON OTROS SERVICIOS
2026-01-01;00;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;112;1;CONVIVENCIA: COLABORACIONES CON OTROS SERVICIOS
2026-01-01;00;VILLAVERDE;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;092;1;CONVIVENCIA: COLABORACIONES CON OTROS SERVICIOS
2026-01-01;00;VILLAVERDE;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;112;2;CONVIVENCIA: COLABORACIONES CON OTROS SERVICIOS
2026-01-01;01;CARABANCHEL;ABRANTES;092;3;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-01-01;01;CARABANCHEL;SAN ISIDRO;092;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-01-01;01;CHAMBERI;VALLEHERMOSO;092;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-01-01;01;HORTALEZA;CANILLAS;092;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-01-01;01;LATINA;ALUCHE;092;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-01-01;01;LATINA;CAMPAMENTO;092;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-01-01;01;LATINA;PUERTA DEL ANGEL;092;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-01-01;01;PUENTE DE VALLECAS;NUMANCIA;092;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-01-01;01;PUENTE DE VALLECAS;PALOMERAS BAJAS;092;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-01-01;01;PUENTE DE VALLECAS;PORTAZGO;092;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-01-01;01;PUENTE DE VALLECAS;SAN DIEGO;092;3;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-01-01;01;VILLAVERDE;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;092;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-01-01;01;CHAMARTIN;EL VISO;092;1;ALTERACIONES DE TRAFICO Y MOVILIDAD
2026-01-01;01;PUENTE DE VALLECAS;NUMANCIA;092;1;SEG.VIAL: COLABORACION EN MATERIA DE TRAFICO Y MOVILIDAD
2026-01-01;01;MONCLOA - ARAVACA;ARAVACA;092;1;INFORMACION AL CIUDADANO
2026-01-01;01;SALAMANCA;GUINDALERA;092;4;INFORMACION AL CIUDADANO
2026-01-01;01;SALAMANCA;RECOLETOS;092;1;INFORMACION AL CIUDADANO
2026-01-01;01;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;092;1;INFORMACION AL CIUDADANO
2026-01-01;01;TETUAN;VALDEACEDERAS;092;1;INFORMADO SERVICIO EXTERNO
2026-01-01;01;SALAMANCA;GUINDALERA;092;1;NOTA INFORMATIVA
2026-01-01;01;SALAMANCA;GUINDALERA;092;2;LLAMADA ERRONEA
2026-01-01;01;CARABANCHEL;COMILLAS;112;1;HURTOS
2026-01-01;01;CARABANCHEL;BUENAVISTA;RADIO;1;OTROS DELITOS...
2026-01-01;01;CENTRO;PALACIO;112;1;MANIFESTACIONES / CONCENTRACIONES
2026-01-01;01;CARABANCHEL;COMILLAS;112;1;REYERTAS / AGRESIONES
2026-01-01;01;CENTRO;EMBAJADORES;112;1;REYERTAS / AGRESIONES
2026-01-01;01;CIUDAD LINEAL;QUINTANA;112;1;REYERTAS / AGRESIONES
2026-01-01;01;FUENCARRAL - EL PARDO;PILAR;112;1;REYERTAS / AGRESIONES
2026-01-01;01;CARABANCHEL;ABRANTES;112;1;VIOLENCIA DE GENERO Y FAMILIAR
2026-01-01;01;BARAJAS;CORRALEJOS;092;1;ACTUACION DE BOMBEROS
2026-01-01;01;BARAJAS;CORRALEJOS;112;2;ACTUACION DE BOMBEROS
2026-01-01;01;CARABANCHEL;BUENAVISTA;112;2;ACTUACION DE BOMBEROS
2026-01-01;01;CARABANCHEL;SAN ISIDRO;092;1;ACTUACION DE BOMBEROS
2026-01-01;01;CHAMBERI;RIOS ROSAS;112;1;ACTUACION DE BOMBEROS
2026-01-01;01;CIUDAD LINEAL;COSTILLARES;112;1;ACTUACION DE BOMBEROS
2026-01-01;01;FUENCARRAL - EL PARDO;PEÑAGRANDE;092;2;ACTUACION DE BOMBEROS
2026-01-01;01;FUENCARRAL - EL PARDO;PEÑAGRANDE;112;3;ACTUACION DE BOMBEROS
2026-01-01;01;FUENCARRAL - EL PARDO;VALVERDE;092;2;ACTUACION DE BOMBEROS
2026-01-01;01;FUENCARRAL - EL PARDO;VALVERDE;112;3;ACTUACION DE BOMBEROS
2026-01-01;01;HORTALEZA;APOSTOL SANTIAGO;112;1;ACTUACION DE BOMBEROS
2026-01-01;01;HORTALEZA;VALDEFUENTES;112;1;ACTUACION DE BOMBEROS
2026-01-01;01;MORATALAZ;FONTARRON;112;1;ACTUACION DE BOMBEROS
2026-01-01;01;PUENTE DE VALLECAS;PALOMERAS SURESTE;112;1;ACTUACION DE BOMBEROS
2026-01-01;01;SALAMANCA;GOYA;112;1;ACTUACION DE BOMBEROS
2026-01-01;01;TETUAN;CUATRO CAMINOS;112;1;ACTUACION DE BOMBEROS
2026-01-01;01;VICALVARO;CASCO HISTORICO DE VICALVARO;112;2;ACTUACION DE BOMBEROS
2026-01-01;01;VICALVARO;VALDERRIVAS;112;1;ACTUACION DE BOMBEROS
2026-01-01;01;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;112;3;ACTUACION DE BOMBEROS
2026-01-01;01;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;CISEM;1;ACTUACION DE BOMBEROS
2026-01-01;01;VILLAVERDE;SAN CRISTOBAL;112;2;ACTUACION DE BOMBEROS
2026-01-01;01;CARABANCHEL;COMILLAS;112;1;ACTUACION DE SAMUR / SUMMA
2026-01-01;01;CARABANCHEL;VISTA ALEGRE;112;1;ACTUACION DE SAMUR / SUMMA
2026-01-01;01;CHAMARTIN;NUEVA ESPAÑA;112;1;ACTUACION DE SAMUR / SUMMA
2026-01-01;01;CIUDAD LINEAL;VENTAS;112;1;ACTUACION DE SAMUR / SUMMA
2026-01-01;01;LATINA;LOS CARMENES;112;1;ACTUACION DE SAMUR / SUMMA
2026-01-01;01;LATINA;PUERTA DEL ANGEL;112;2;ACTUACION DE SAMUR / SUMMA
2026-01-01;01;MORATALAZ;MARROQUINA;112;1;ACTUACION DE SAMUR / SUMMA
2026-01-01;01;PUENTE DE VALLECAS;PALOMERAS BAJAS;112;1;ACTUACION DE SAMUR / SUMMA
2026-01-01;01;SALAMANCA;CASTELLANA;112;1;ACTUACION DE SAMUR / SUMMA
2026-01-01;01;SALAMANCA;RECOLETOS;112;1;ACTUACION DE SAMUR / SUMMA
2026-01-01;01;VILLAVERDE;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;092;1;INCIDENCIA 112
2026-01-01;01;VILLAVERDE;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;112;1;INCIDENCIA 112
2026-01-01;01;CIUDAD LINEAL;LA CONCEPCION;092;1;ACCIDENTE DE TRAFICO SIN HERIDOS
2026-01-01;01;CIUDAD LINEAL;LA CONCEPCION;112;1;ACCIDENTE DE TRAFICO SIN HERIDOS
2026-01-01;01;BARAJAS;ALAMEDA DE OSUNA;092;1;RUIDOS MOLESTOS
2026-01-01;01;BARAJAS;CASCO HISTORICO DE BARAJAS;092;1;RUIDOS MOLESTOS
2026-01-01;01;CARABANCHEL;COMILLAS;092;1;RUIDOS MOLESTOS
2026-01-01;01;CARABANCHEL;OPAÑEL;092;1;RUIDOS MOLESTOS
2026-01-01;01;CARABANCHEL;SAN ISIDRO;092;1;RUIDOS MOLESTOS
2026-01-01;01;CENTRO;JUSTICIA;092;1;RUIDOS MOLESTOS
2026-01-01;01;CENTRO;JUSTICIA;112;1;RUIDOS MOLESTOS
2026-01-01;01;CENTRO;SOL;092;1;RUIDOS MOLESTOS
2026-01-01;01;CENTRO;UNIVERSIDAD;092;1;RUIDOS MOLESTOS
2026-01-01;01;CHAMARTIN;CASTILLA;092;1;RUIDOS MOLESTOS
2026-01-01;01;CHAMBERI;TRAFALGAR;092;1;RUIDOS MOLESTOS
2026-01-01;01;CIUDAD LINEAL;COSTILLARES;092;1;RUIDOS MOLESTOS
2026-01-01;01;CIUDAD LINEAL;LA CONCEPCION;092;1;RUIDOS MOLESTOS
2026-01-01;01;CIUDAD LINEAL;PUEBLO NUEVO;092;2;RUIDOS MOLESTOS
2026-01-01;01;CIUDAD LINEAL;SAN PASCUAL;092;1;RUIDOS MOLESTOS
2026-01-01;01;FUENCARRAL - EL PARDO;LA PAZ;092;1;RUIDOS MOLESTOS
2026-01-01;01;FUENCARRAL - EL PARDO;MIRASIERRA;092;1;RUIDOS MOLESTOS
2026-01-01;01;FUENCARRAL - EL PARDO;PEÑAGRANDE;092;1;RUIDOS MOLESTOS
2026-01-01;01;FUENCARRAL - EL PARDO;PILAR;092;1;RUIDOS MOLESTOS
2026-01-01;01;FUENCARRAL - EL PARDO;VALVERDE;092;2;RUIDOS MOLESTOS
2026-01-01;01;HORTALEZA;APOSTOL SANTIAGO;092;1;RUIDOS MOLESTOS
2026-01-01;01;HORTALEZA;PINAR DEL REY;092;1;RUIDOS MOLESTOS
2026-01-01;01;HORTALEZA;VALDEFUENTES;092;1;RUIDOS MOLESTOS
2026-01-01;01;LATINA;ALUCHE;092;3;RUIDOS MOLESTOS
2026-01-01;01;MONCLOA - ARAVACA;VALDEZARZA;092;1;RUIDOS MOLESTOS
2026-01-01;01;MORATALAZ;MARROQUINA;092;1;RUIDOS MOLESTOS
2026-01-01;01;PUENTE DE VALLECAS;ENTREVIAS;092;2;RUIDOS MOLESTOS
2026-01-01;01;PUENTE DE VALLECAS;PALOMERAS BAJAS;092;1;RUIDOS MOLESTOS
2026-01-01;01;PUENTE DE VALLECAS;PALOMERAS SURESTE;092;1;RUIDOS MOLESTOS
2026-01-01;01;PUENTE DE VALLECAS;PORTAZGO;092;1;RUIDOS MOLESTOS
2026-01-01;01;RETIRO;LOS JERONIMOS;092;1;RUIDOS MOLESTOS
2026-01-01;01;SAN BLAS - CANILLEJAS;CANILLEJAS;092;1;RUIDOS MOLESTOS
